U.S. Custom Ports,Coast,Year,ImportTons,ExportTons
"Galveston, TX",G,2017,15674.76,6339.36
"Gloucester City, NJ",A,2017,62186.44,939.94
"Gramercy, LA",G,2017,0.0,0.0
"Gulfport, MS",G,2017,90786.21,54691.23
"Honolulu, HI",HI,2017,21493.92,31990.05
"Houston, TX",G,2017,1071689.44,946564.22
"Jacksonville, FL",A,2017,322721.35,494520.91
"Kodiak, AK",AK,2017,0.0,1002.0
"Lake Charles, LA",G,2017,203.76,143.0
"Long Beach, CA",P,2017,3792165.13,1217324.94
"Longview, WA",P,2017,0.0,0.0
"Los Angeles, CA",P,2017,4590451.38,1598709.61
"Mayaguez, PR",PR,2017,0.0,0.0
"Miami, FL",A,2017,418402.34,349625.71
"Mobile, AL",G,2017,118097.04,132477.64
"New Orleans, LA",G,2017,109999.9,296438.87
"New York, NY",A,2017,3402439.97,1364838.82
"Newport News, VA",A,2017,1139.59,2032.51
"Norfolk, VA",A,2017,1233597.84,955886.86
"Oakland, CA",P,2017,879838.8,786260.85
"Panama City, FL",G,2017,14981.56,8735.57
"Pensacola, FL",G,2017,0.0,0.0
"Pensauken, NJ",A,2017,16817.22,44168.49
"Philadelphia, PA",A,2017,277469.86,85341.56
"Ponce, PR",PR,2017,36.75,1.0
"Port Angeles, WA",P,2017,36.78,0.0
"Port Arthur, TX",G,2017,91.99,0.0
"Port Canaveral, FL",A,2017,3887.8,4068.76
"Port Everglades, FL",A,2017,357424.8,434424.07
"Port Hueneme, CA",P,2017,57473.89,14615.53
"Port Manatee, FL",G,2017,25360.6,5899.25
"Portland, ME",A,2017,8126.87,0.0
"Portland, OR",P,2017,299.16,0.0
"Portsmouth, NH",A,2017,1.75,88.0
"Salem, NJ",A,2017,286.95,1393.88
"San Diego, CA",P,2017,62582.67,2760.18
"San Francisco, CA",P,2017,62.25,0.0
"San Juan, PR",PR,2017,181243.92,31339.09
"Savannah, GA",A,2017,1862999.96,1299898.3
"Seattle, WA",P,2017,595404.33,391747.09
"Tacoma, WA",P,2017,777146.9,501150.78
"Tampa, FL",G,2017,36131.48,8892.75
"Vancouver, WA",P,2017,914.34,0.0
"West Palm Beach, FL",A,2017,29075.9,135279.24
"Wilmington, DE",A,2017,172646.8,24441.8
"Wilmington, NC",A,2017,75614.11,103527.15
