Name,Website,Crunchbase URL,Funds Raised,Event,Outcome,Status
Shakr Media,shakr.com,https://www.crunchbase.com/organization/shakr-media,$3.8M,Disrupt Beijing 2011,Contestant,Operating
Shape,shapescale.com,https://www.crunchbase.com/organization/shapescale,,-,Contestant,Operating
Share Practice,sharepractice.com,https://www.crunchbase.com/organization/share-practice,$4.1M,Disrupt NYC 2013,Contestant,Closed
Shattered Reality Interactive,srinteractive.com,https://www.crunchbase.com/organization/shattered-reality-interactive,$1.1M,TC50 2008,Contestant,Closed
Sher.ly,sher.ly,https://www.crunchbase.com/organization/sher-ly,$1.4M,Disrupt EU 2013,Contestant,Operating
ShieldSquare,shieldsquare.com,https://www.crunchbase.com/organization/shieldsquare,$350K,Disrupt SF 2015,Audience choice,Operating
ShipHawk,shiphawk.com,https://www.crunchbase.com/organization/shiphawk,$6M,Disrupt NYC 2013,Audience choice,Operating
SHL Telemedicine,shl-telemedicine.com,https://www.crunchbase.com/organization/shl-telemedicine,,Disrupt NYC 2011,Contestant,Ipo
ShoCard,shocard.com,https://www.crunchbase.com/organization/shocard-inc,$1.5M,Disrupt NY 2015,Contestant,Operating
ShowKit,showkit.com,https://www.crunchbase.com/organization/showkit,$440K,Disrupt NYC 2014,Finalist,Operating
Shufflehub,shufflehub.com,https://www.crunchbase.com/organization/shufflehub-limited,,Disrupt EU 2013,Contestant,Operating
Sign2Pay,sign2pay.com,https://www.crunchbase.com/organization/sign2pay,$684.4K,Disrupt EU 2014,Contestant,Operating
Simply Grid,simplygrid.com,https://www.crunchbase.com/organization/simply-grid,,Disrupt NYC 2014,Contestant,Operating
Siren Care,siren.care,https://www.crunchbase.com/organization/siren-ivs,$129.8K,-,Winner,Operating
SizeUp,sizeup.com,https://www.crunchbase.com/organization/sizeup,,Disrupt SF 2011,Contestant,Operating
Skaffl,skaffl.com,https://www.crunchbase.com/organization/skaffl,$118K,Disrupt SF 2013,Contestant,Operating
Skylines,skylines.io,https://www.crunchbase.com/organization/skylines,$700K,Disrupt NYC 2011,Contestant,Closed
SkySpecs,skyspecs.com,https://www.crunchbase.com/organization/skyspecs,$3.5M,Hardware Battlefield 2015,Contestant,Operating
SlickLogin,slicklogin.com,https://www.crunchbase.com/organization/slicklogin,$20K,Disrupt SF 2013,Contestant,Acquired
Slides,slides.com,https://www.crunchbase.com/organization/slides,,Disrupt SF 2016,Contestant,Operating
SmartyPans,smartypans.io,https://www.crunchbase.com/organization/smartypans,,-,Contestant,Operating
Smoretgage,smoretgage.com,https://www.crunchbase.com/organization/smoretgage,,Disrupt NYC 2014,Contestant,Operating
SnapDragon,playsnapdragon.com,https://www.crunchbase.com/organization/snapdragon,,Disrupt SF 2010,Contestant,Closed
SnipSnap,snipsnap.it,https://www.crunchbase.com/organization/snipsnap-app,$2.8M,Disrupt NYC 2012,Contestant,Acquired
Social Stock,socialstock.com,https://www.crunchbase.com/organization/social-stock,,Disrupt NYC 2012,Contestant,Closed
Socialwok,socialwok.com,https://www.crunchbase.com/organization/socialwok,,TC50 2009,Audience choice,Closed
Soluto,soluto.com,https://www.crunchbase.com/organization/soluto,$18M,Disrupt NYC 2010,Winner,Acquired
Sonar,sonarapp.com,https://www.crunchbase.com/organization/sonar,,Disrupt NYC 2011,Runner up,Operating
SOP Notify,sopnotify.com,https://www.crunchbase.com/organization/sop-notify,,Disrupt SF 2014,Contestant,Operating
Spacebar,spacebar.com,https://www.crunchbase.com/organization/spacebar-fm,,Disrupt NYC 2013,Contestant,Operating
Spawn Labs,spawnlabs.com,https://www.crunchbase.com/organization/spawn-labs,$1M,TC50 2009,Contestant,Acquired
Spenz,spenz.com,https://www.crunchbase.com/organization/spenz,,Disrupt NYC 2011,Contestant,Operating
Spincle,spincle.io,https://www.crunchbase.com/organization/spincle,,Disrupt SF 2016,Contestant,Operating
Spinlister,spinlister.com,https://www.crunchbase.com/organization/spinlister,$2.3M,Disrupt SF 2012,Audience choice,Operating
Spinn Inc.,spinn.com,https://www.crunchbase.com/organization/spinn-coffee,$2.6M,Disrupt NY 2016,Contestant,Operating
SpokenLayer,spokenlayer.com,https://www.crunchbase.com/organization/spokenlayer,$482K,Disrupt NYC 2012,Contestant,Operating
Spool,getspool.com,https://www.crunchbase.com/organization/spool,$1M,Disrupt SF 2011,Contestant,Acquired
SpotlessCity,spotlesscity.com,https://www.crunchbase.com/organization/spotlesscity,$200K,Disrupt NYC 2012,Contestant,Closed
SpotOn,spoton.com,https://www.crunchbase.com/organization/spoton,$5M,Disrupt NYC 2011,Contestant,Operating
Spott,spo.tt,https://www.crunchbase.com/organization/spott-2,,TC40 2007,Contestant,Operating
Sprowtt Marketplace,sprowtt.com,https://www.crunchbase.com/organization/sprowtt-marketplace,,TC50 2009,Contestant,Closed
Sqreen,sqreen.io,https://www.crunchbase.com/organization/sqreen,$2.3M,Disrupt SF 2016,Finalist,Operating
Stack Lighting,stacklighting.com,https://www.crunchbase.com/organization/stack-lighting,,Disrupt SF 2014,Finalist,Operating
"Staffly, Inc.",staffly.com,https://www.crunchbase.com/organization/staffly-inc,$1.3M,Disrupt SF 2015,Contestant,Operating
Stampery,stampery.com,https://www.crunchbase.com/organization/stampery,$600K,Disrupt SF 2015,Contestant,Operating
StandWith,launch.standwith.com,https://www.crunchbase.com/organization/standwith,,Disrupt NYC 2014,Contestant,Operating
Stepcase,stepcase.com,https://www.crunchbase.com/organization/stepcase,,Disrupt Beijing 2011,Contestant,Operating
Stereolabs,stereolabs.com,https://www.crunchbase.com/organization/stereolabs,$2M,Hardware Battlefield 2016,Contestant,Operating
Stevie,stevie.com,https://www.crunchbase.com/organization/stevie,$2.1M,Disrupt NYC 2012,Contestant,Operating
Stitch,teamstitch.com,https://www.crunchbase.com/organization/stitch-4,$120K,Disrupt SF 2015,Finalist,Operating
Storify,storify.com,https://www.crunchbase.com/organization/storify,$23K,Disrupt SF 2010,Contestant,Acquired
StoryBlender,storyblender.com,https://www.crunchbase.com/organization/storyblender,$1.5M,TC40 2007,Contestant,Closed
StoryBox,getstorybox.com,https://www.crunchbase.com/organization/videogenie,$2.4M,Disrupt NYC 2010,Contestant,Operating
Storysomething,storysomething.com,https://www.crunchbase.com/organization/storysomething,,TC50 2009,Contestant,Closed
Stratio,stratio.com,https://www.crunchbase.com/organization/strat-io,,-,Finalist,Operating
Stribe,stribe.com,https://www.crunchbase.com/organization/stribe,$600K,TC50 2009,Contestant,Closed
StudyHall,studyhall.com,https://www.crunchbase.com/organization/studyhall-com,,Disrupt SF 2012,Contestant,Operating
StudyRoom,getstudyroom.com,https://www.crunchbase.com/organization/studyroom,,Disrupt SF 2014,Contestant,Operating
StyleSaint,stylesaint.com,https://www.crunchbase.com/organization/stylesaint,$5.8M,Disrupt NYC 2012,Contestant,Operating
StyleSeat,styleseat.com,https://www.crunchbase.com/organization/styleseat,$40M,Disrupt NYC 2011,Contestant,Operating
Sumazi,sumazi.com,https://www.crunchbase.com/organization/sumazi,,Disrupt SF 2010,Contestant,Operating
Sunglass,sunglasshut.com,https://www.crunchbase.com/organization/sunglass,$1.8M,Disrupt NYC 2012,Finalist,Closed
Superfly,superfly.com,https://www.crunchbase.com/organization/superfly,$500K,Disrupt SF 2010,Contestant,Operating
Supplizer,supplizer.com/,https://www.crunchbase.com/organization/supplizer,,Disrupt NYC 2013,Contestant,Closed
SupplyShift,supplyshift.net,https://www.crunchbase.com/organization/supplyshift,$485K,Disrupt NYC 2013,Finalist,Operating
Sutro,sutrobio.com,https://www.crunchbase.com/organization/sutro,$863K,Hardware Battlefield 2015,Finalist,Operating
Switchmate,myswitchmate.com,https://www.crunchbase.com/organization/switchmate,,Hardware Battlefield 2015,Contestant,Operating
Swype,swype.com,https://www.crunchbase.com/organization/swype,$15.6M,TC50 2008,Finalist,Acquired
Symphony Commerce,symphonycommerce.com,https://www.crunchbase.com/organization/symphony-commerce,$47.4M,Disrupt NYC 2011,Contestant,Operating
TableGrabber,tablegrabber.com,https://www.crunchbase.com/organization/tablegrabber,$323.8K,Disrupt SF 2014,Contestant,Operating
Tagbrand,tagbrand.com,https://www.crunchbase.com/organization/tagbrand,$600K,Disrupt NYC 2012,Contestant,Operating
Tailor Brands,tailorbrands.com,https://www.crunchbase.com/organization/tailor-brands,$5.1M,Disrupt SF 2014,Contestant,Operating
Talk to IO,talkto.io,https://www.crunchbase.com/organization/talk-to-io,,Disrupt EU 2014,Contestant,Operating
Talkdesk,talkdesk.com,https://www.crunchbase.com/organization/talkdesk,$24.5M,Disrupt NYC 2012,Contestant,Operating
Talkz,talkz.com,https://www.crunchbase.com/organization/talkz,,Disrupt NYC 2013,Contestant,Operating
TallyGo,tallygo.com,https://www.crunchbase.com/organization/clearpath,$1M,Disrupt SF 2016,Contestant,Operating
Tango Tech,tangopc.com,https://www.crunchbase.com/organization/tango-tech,$350K,Disrupt NYC 2014,Contestant,Operating
Teach The People,teachthepeople.com,https://www.crunchbase.com/organization/teachthepeople,$300K,TC40 2007,Contestant,Closed
Tello Applications,,https://www.crunchbase.com/organization/tello,$4.7M,Disrupt SF 2010,Contestant,Closed
Textingly,textingly.com,https://www.crunchbase.com/organization/textingly,$650K,Disrupt NYC 2010,Contestant,Closed
The Eye Tribe,theeyetribe.com,https://www.crunchbase.com/organization/the-eye-tribe,$5.3M,Hardware Battlefield 2014,Contestant,Acquired
The Whuffie Bank,thewhuffiebank.org,https://www.crunchbase.com/organization/the-whuffie-bank,,TC50 2009,Contestant,Closed
TheSwop.com,theswop.com,https://www.crunchbase.com/organization/theswop-com,,TC50 2009,Contestant,Closed
Thinkfuse,thinkfuse.com,https://www.crunchbase.com/organization/thinkfuse,$532K,Disrupt NYC 2011,Contestant,Acquired
Thoora,thoora.com,https://www.crunchbase.com/organization/thoora,$4.2M,TC50 2009,Contestant,Closed
threadsy,threadsy.com,https://www.crunchbase.com/organization/threadsy,$6.3M,TC50 2009,Finalist,Acquired
ThriftDB,thriftdb.com,https://www.crunchbase.com/organization/thriftdb,,Disrupt NYC 2011,Contestant,Operating
Tickreel,tickreel.com,https://www.crunchbase.com/organization/tickreel,,Disrupt NYC 2010,Contestant,Closed
TidePool,tidepool.co,https://www.crunchbase.com/organization/tidepool,$1.5M,Disrupt SF 2013,Contestant,Operating
TimeLooper,timelooper.com,https://www.crunchbase.com/organization/timelooper-inc,$1.9M,Disrupt NY 2016,Contestant,Operating
Tingz,tingz.net,https://www.crunchbase.com/organization/tingz,$280K,TC50 2008,Contestant,Closed
Tonara,tonara.com,https://www.crunchbase.com/organization/tonara,$9.8M,Disrupt SF 2011,Contestant,Operating
Tonchidot,tonchidot.com,https://www.crunchbase.com/organization/tonchidot,$16M,TC50 2008,Contestant,Operating
ToonsTunes,toonstunes.com,https://www.crunchbase.com/organization/toonstunes,,TC50 2009,Contestant,Closed
TouchPal,touchpal.com,https://www.crunchbase.com/organization/touchpal,$25M,Disrupt Beijing 2011,Finalist,Operating
Tovbot,tovbot.com,https://www.crunchbase.com/organization/tovbot,,Disrupt SF 2012,Contestant,Operating
ToVieFor,toviefor.com,https://www.crunchbase.com/organization/toviefor,$93K,Disrupt SF 2010,Contestant,Closed
ToyBots,toybots.com,https://www.crunchbase.com/organization/toybots,,TC50 2009,Contestant,Closed
Trace,traceapp.com,https://www.crunchbase.com/organization/trace,,Disrupt NYC 2013,Contestant,Operating
Tracks.by,tracks.by,https://www.crunchbase.com/organization/tracks-by,$88K,Disrupt NYC 2011,Contestant,Operating
Traction,traction.co,https://www.crunchbase.com/organization/buzzstarter-inc,,Disrupt NYC 2014,Contestant,Operating
TRAIL,discovertrail.com,https://www.crunchbase.com/organization/trail,,Disrupt SF 2013,Contestant,Operating
Trello,trello.com,https://www.crunchbase.com/organization/trello,$10.3M,Disrupt SF 2011,Finalist,Acquired
TripIt,tripit.com,https://www.crunchbase.com/organization/tripit,$13.1M,TC40 2007,Contestant,Acquired
Trippy,trippy.com,https://www.crunchbase.com/organization/trippy,$5.3M,Disrupt SF 2011,Contestant,Operating
Trollim,trollim.com,https://www.crunchbase.com/organization/trollim,,TC50 2009,Contestant,Closed
TrueCar,truecar.com,https://www.crunchbase.com/organization/truecar,$332.4M,TC50 2008,Contestant,Ipo
Trustev,trustev.com,https://www.crunchbase.com/organization/trustev,$7.8M,Disrupt NYC 2013,Contestant,Acquired
Trutap,trutap.com,https://www.crunchbase.com/organization/trutap,$14.5M,TC40 2007,Contestant,Closed
Tweegee,tweegee.com,https://www.crunchbase.com/organization/tweegee,$3M,TC50 2008,Contestant,Operating
Twentify,twentify.com,https://www.crunchbase.com/organization/twentify,$1M,Disrupt London 2015,Contestant,Operating
UberConference,uberconference.com,https://www.crunchbase.com/organization/uberconference,$35M,Disrupt NYC 2012,Winner,Operating
Udorse,udorse.com,https://www.crunchbase.com/organization/udorse,$500K,TC50 2009,Contestant,Closed
UJAM,ujam.com,https://www.crunchbase.com/organization/ujam,$2M,Disrupt NYC 2010,Finalist,Operating
Undrip,undrip.com,https://www.crunchbase.com/organization/undrip,,Disrupt SF 2012,Contestant,Operating
Ungeo,ungeo.cn,https://www.crunchbase.com/organization/ungeo,,Disrupt Beijing 2011,Audience choice,Operating
UnifyID,unify.id,https://www.crunchbase.com/organization/unifyid,,Disrupt SF 2016,Finalist,Operating
UnitedStyles,unitedstyles.com,https://www.crunchbase.com/organization/unitedstyles,,Disrupt Beijing 2011,Finalist,Closed
UpScored,upscored.com,https://www.crunchbase.com/organization/upscored,,Disrupt NY 2016,Contestant,Operating
Upwork,upwork.com,https://www.crunchbase.com/organization/odesk,$168.8M,TC50 2009,Audience choice,Operating
UQ Life,uqlife.com,https://www.crunchbase.com/organization/uq-life,,Disrupt NYC 2013,Contestant,Operating
Valor Water Analytics,valorwater.com,https://www.crunchbase.com/organization/valor-water-analytics,$2.8M,Disrupt SF 2014,Contestant,Operating
Vantage Robotics,vantagerobotics.com,https://www.crunchbase.com/organization/vantage-robotics,,Hardware Battlefield 2016,Contestant,Operating
Vault,getvault.com,https://www.crunchbase.com/organization/vaultinvesting,$1.6M,Disrupt London 2016,Audience choice,Operating
Venneos GmbH,venneos.com,https://www.crunchbase.com/organization/venneos,$1.1M,-,Contestant,Operating
Verious,verious.com,https://www.crunchbase.com/organization/verious,$800K,Disrupt SF 2011,Contestant,Closed
Veyo Care,veyo-care.com,https://www.crunchbase.com/organization/veyo-care,$830.2K,Disrupt London 2015,Contestant,Operating
VIDA,vida.fm,https://www.crunchbase.com/organization/vida,,Disrupt Beijing 2011,Contestant,Closed
VideoSurf,videosurf.com,https://www.crunchbase.com/organization/videosurf,$28M,TC50 2008,Contestant,Acquired
Viewdle,viewdle.com,https://www.crunchbase.com/organization/viewdle,$12M,TC40 2007,Contestant,Acquired
Vimo Labs,trackmy.fit,https://www.crunchbase.com/organization/vimofit,$1M,Disrupt NY 2015,Contestant,Operating
Vinli,vin.li,https://www.crunchbase.com/organization/vinli,$6.5M,Disrupt SF 2014,Finalist,Operating
Vinylmint,vinylmint.com,https://www.crunchbase.com/organization/vinylmint,$26.7K,Disrupt NYC 2012,Contestant,Operating
VisibleGains,visiblegains.com,https://www.crunchbase.com/organization/visiblegains,$4.5M,Disrupt NYC 2012,Contestant,Operating
VIVE,vive.co,https://www.crunchbase.com/organization/vive-4,$2.3M,Disrupt NY 2015,Contestant,Operating
voicesphere,voice-sphere.com,https://www.crunchbase.com/organization/voicesphere,,Disrupt EU 2013,Finalist,Operating
Voltera,voltera.io,https://www.crunchbase.com/organization/voltera,$55K,Hardware Battlefield 2015,Winner,Operating
Voxel,voxel.net,https://www.crunchbase.com/organization/voxel,$7.1M,Disrupt SF 2013,Contestant,Operating
Voxy,voxy.com,https://www.crunchbase.com/organization/voxy,$30.8M,Disrupt SF 2010,Contestant,Operating
Vurb,vurb.com,https://www.crunchbase.com/organization/vurb,$10M,Disrupt NYC 2014,Winner,Acquired
WakaTime,wakatime.com,https://www.crunchbase.com/organization/wakatime,,Disrupt SF 2015,Contestant,Operating
Wanderio,wanderio.com,https://www.crunchbase.com/organization/wanderio,$275K,Disrupt EU 2013,Contestant,Operating
WaterO,wateropurifier.com,https://www.crunchbase.com/organization/watero,$85.7K,Disrupt NY 2016,Runner up,Operating
WAZER,wazer.com,https://www.crunchbase.com/organization/wazer-inc-2,$1.4M,Disrupt SF 2016,Contestant,Operating
WEconnect,weconnectrecovery.com,https://www.crunchbase.com/organization/palalinq,$2.1M,Disrupt SF 2016,Audience choice,Operating
WeDemand,wedemand.com,https://www.crunchbase.com/organization/wedemand,$1M,Disrupt SF 2012,Contestant,Operating
Wellth,wellthapp.com,https://www.crunchbase.com/organization/wellth,$2.5M,Disrupt NY 2015,Contestant,Operating
Wellthy,wellthy.com,https://www.crunchbase.com/organization/wellthy-2,$2M,Disrupt SF 2015,Contestant,Operating
Welltwigs,welltwigs.com,https://www.crunchbase.com/organization/welltwigs,$50K,Disrupt NY 2015,Contestant,Operating
Weotta,weotta.com,https://www.crunchbase.com/organization/weotta,,Disrupt NYC 2011,Contestant,Operating
What Now Travel,whatnowtravel.com,https://www.crunchbase.com/organization/what-now-travel,,Disrupt EU 2013,Contestant,Operating
Wiivv,wiivv.com,https://www.crunchbase.com/organization/wiivv-wearables-company,$12.2M,Hardware Battlefield 2016,Runner up,Operating
Wixi,wixi.com,https://www.crunchbase.com/organization/wixi,,TC40 2007,Contestant,Closed
WooMe,woome.com,https://www.crunchbase.com/organization/woome,$17.4M,TC40 2007,Finalist,Acquired
Workspot,workspot.com,https://www.crunchbase.com/organization/workspot,$15.8M,Disrupt NYC 2013,Contestant,Operating
Xendo,xendo.com,https://www.crunchbase.com/organization/xendo,$28K,Disrupt SF 2014,Contestant,Acquired
Xobni,yahoo.com,https://www.crunchbase.com/organization/xobni,$41.8M,TC40 2007,Contestant,Acquired
Yammer,yammer.com,https://www.crunchbase.com/organization/yammer,$142M,TC50 2008,Winner,Acquired
Yap,yapme.com,https://www.crunchbase.com/organization/yap,$10M,TC40 2007,Contestant,Closed
YayPay Inc,yaypay.com,https://www.crunchbase.com/organization/yaypay-inc,$900K,Disrupt London 2015,Contestant,Operating
Yext,yext.com,https://www.crunchbase.com/organization/yext,$117.8M,TC50 2009,Contestant,Ipo
YOOBIC,yoobic.com,https://www.crunchbase.com/organization/yoobic,,Disrupt London 2015,Finalist,Operating
YouNow,younow.com,https://www.crunchbase.com/organization/younow,$26M,Disrupt SF 2011,Contestant,Operating
YourMechanic,yourmechanic.com,https://www.crunchbase.com/organization/yourmechanic,$28M,Disrupt SF 2012,Winner,Operating
YourVersion,yourversion.com,https://www.crunchbase.com/organization/yourversion,,TC50 2009,Audience choice,Operating
Yuwan,iyuwan.cn,https://www.crunchbase.com/organization/yuwan,,Disrupt Beijing 2011,Contestant,Closed
ZAP!,zapreklam.com/,https://www.crunchbase.com/organization/zap-3,,Disrupt EU 2014,Audience choice,Operating
ZEFR,zefr.com,https://www.crunchbase.com/organization/zefr,$62.1M,Disrupt NYC 2010,Contestant,Operating
Zello,zello.com,https://www.crunchbase.com/organization/loudtalks,,TC40 2007,Contestant,Operating
Zenefits,zenefits.com,https://www.crunchbase.com/organization/zenefits,$583.6M,Disrupt NYC 2013,Finalist,Operating
Zivity,zivity.com,https://www.crunchbase.com/organization/zivity,$8M,TC40 2007,Contestant,Operating
Zmorph,zmorph3d.com,https://www.crunchbase.com/organization/zmorph,$1M,-,Audience choice,Operating
Zocdoc,zocdoc.com,https://www.crunchbase.com/organization/zocdoc,$223M,TC40 2007,Contestant,Operating
Zula,zulaapp.com,https://www.crunchbase.com/organization/zula,$3.4M,Disrupt SF 2013,Audience choice,Operating
Zumper,zumper.com,https://www.crunchbase.com/organization/zumper,$31.5M,Disrupt SF 2012,Finalist,Operating
